employee_key,employee_name,gender,hire_date
1,Carlos Matthews,M,2010-06-26
2,Timothy Mendoza,M,2022-02-27
3,David Salinas,M,2020-02-23
4,Destiny Ellis,F,2017-10-05
5,Brian Mcdaniel,M,2014-08-17
6,Scott Stevens,M,2010-09-06
7,Kara Mann,F,2023-06-04
8,Joseph Scott,M,2013-11-13
9,Ashley Maynard,F,2012-12-02
10,David Anderson,M,2016-09-07
11,Taylor Brown,F,2012-04-14
12,Kelly Anderson,M,2013-03-25
13,Patricia Crawford,F,2017-04-03
14,Mary Elliott,F,2011-03-12
15,Anthony Jones,M,2023-03-20
16,Jon Garcia,M,2010-02-04
17,Collin Chavez,M,2014-08-01
18,Ann Vaughn,F,2010-06-07
19,Brandon Rodriguez,M,2019-12-19
20,Jennifer Gonzales,F,2017-02-08
21,Dana Lopez,F,2017-10-21
22,Robyn Smith,F,2019-05-03
23,Brandy Aguilar,F,2023-07-19
24,James Cox,M,2012-01-09
25,Michael Fernandez,M,2013-01-12
26,Michael Johnson,M,2017-03-13
27,Wendy Deleon,F,2011-12-15
28,David Cisneros,M,2022-03-22
29,Donald Brown,M,2017-04-13
30,Alexandra Burnett,F,2023-06-14
31,Sheena Villegas,F,2019-07-12
32,Rodney Mccann MD,M,2020-04-19
33,Ronald Smith,M,2019-03-20
34,Dr. Robin Wang,F,2021-01-30
35,Paige Silva,F,2011-06-21
36,Kristopher Carter,M,2011-09-08
37,Diana Soto,F,2011-01-04
38,Austin Fox,M,2010-03-15
39,Hector Garza,M,2022-03-18
40,Todd Gordon,M,2020-11-26
41,Kristen Ingram,F,2010-05-18
42,Jennifer Nguyen,F,2015-09-21
43,Sandra Booth,F,2015-04-13
44,Leonard Ramirez,M,2011-03-12
45,Alicia Andrews,F,2014-01-03
46,Elizabeth Morton,F,2021-04-18
47,Julie Henderson,F,2022-11-02
48,John Hamilton,M,2023-09-18
49,Kayla Clark,F,2017-06-27
50,John Greene,M,2012-01-29
51,Tammy Garcia,F,2011-09-29
52,Jessica Collins,F,2011-04-14
53,Hector Hernandez,M,2018-11-07
54,Mr. Richard Hall,M,2014-04-20
55,Kelly Flores,F,2020-10-30
56,Gregory Sullivan,M,2010-10-13
57,Leslie Rodriguez,F,2020-04-29
58,Darlene Hernandez,F,2015-03-21
59,Tracy Ward,F,2018-01-07
60,Allison Richmond,F,2018-12-02
61,Anthony Flynn,M,2012-08-26
62,Larry Booth,M,2021-01-07
63,Teresa Shepherd,F,2023-03-04
64,Jessica Mccall,F,2020-03-09
65,Brandon Mckee,M,2016-07-20
66,Michael Bartlett,M,2016-02-03
67,Tammy Clay,F,2018-10-04
68,Shawn Anderson,M,2016-03-07
69,Alexander Martinez,M,2014-07-09
70,Andre Barry,M,2020-11-02
71,Laura Dunn,F,2012-09-16
72,Matthew Tucker,M,2019-10-15
73,Monica Rivas,F,2017-09-12
74,Mrs. Angela Smith,F,2017-09-12
75,Carlos Lewis,M,2014-03-03
76,Brandon Taylor,M,2015-07-25
77,Candice Harris,F,2013-05-20
78,Holly Clarke,F,2018-04-10
79,Patrick Lopez,M,2015-10-01
80,Nancy Webb,F,2022-07-28
81,Nicole Williams,F,2010-09-04
82,April Price,F,2020-11-17
83,Paula Jarvis,F,2015-04-02
84,Jesus Schwartz,M,2022-04-14
85,Tommy Donovan,M,2021-01-18
86,Andrea Smith,F,2012-05-19
87,Stacey Stevens,F,2017-11-20
88,Lynn Phelps,F,2021-04-16
89,David Lyons,M,2020-09-18
90,Richard Robinson,M,2011-12-04
91,Wanda Lane,F,2020-07-11
92,Michael Johnson,M,2016-11-18
93,Christopher Dickerson,M,2012-04-29
94,John Murray,M,2013-02-19
95,Wendy Moran,F,2016-05-14
96,Cathy Rhodes,F,2021-11-21
97,Linda Hunter,F,2023-06-08
98,Rebecca Summers,F,2022-08-02
99,Richard Burns,M,2021-09-13
100,Dr. Jasmine Brown,F,2019-11-12
101,Caroline Thompson,F,2023-09-21
102,Cheryl Ford,F,2011-05-31
